Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
26/10/2017;2017;10;outubro;4;26;quinta-feira;DIA UTIL
27/10/2017;2017;10;outubro;4;27;sexta-feira;DIA UTIL
28/10/2017;2017;10;outubro;4;28;sábado;FINAL DE SEMANA
29/10/2017;2017;10;outubro;4;29;domingo;FINAL DE SEMANA
30/10/2017;2017;10;outubro;4;30;segunda-feira;DIA UTIL
31/10/2017;2017;10;outubro;4;31;terça-feira;DIA UTIL
01/11/2017;2017;11;novembro;4;1;quarta-feira;DIA UTIL
02/11/2017;2017;11;novembro;4;2;quinta-feira;FERIADO
03/11/2017;2017;11;novembro;4;3;sexta-feira;DIA UTIL
04/11/2017;2017;11;novembro;4;4;sábado;FINAL DE SEMANA
05/11/2017;2017;11;novembro;4;5;domingo;FINAL DE SEMANA
06/11/2017;2017;11;novembro;4;6;segunda-feira;DIA UTIL
07/11/2017;2017;11;novembro;4;7;terça-feira;DIA UTIL
08/11/2017;2017;11;novembro;4;8;quarta-feira;DIA UTIL
09/11/2017;2017;11;novembro;4;9;quinta-feira;DIA UTIL
10/11/2017;2017;11;novembro;4;10;sexta-feira;DIA UTIL
11/11/2017;2017;11;novembro;4;11;sábado;FINAL DE SEMANA
12/11/2017;2017;11;novembro;4;12;domingo;FINAL DE SEMANA
13/11/2017;2017;11;novembro;4;13;segunda-feira;DIA UTIL
14/11/2017;2017;11;novembro;4;14;terça-feira;DIA UTIL
15/11/2017;2017;11;novembro;4;15;quarta-feira;FERIADO
16/11/2017;2017;11;novembro;4;16;quinta-feira;DIA UTIL
17/11/2017;2017;11;novembro;4;17;sexta-feira;DIA UTIL
18/11/2017;2017;11;novembro;4;18;sábado;FINAL DE SEMANA
19/11/2017;2017;11;novembro;4;19;domingo;FINAL DE SEMANA
20/11/2017;2017;11;novembro;4;20;segunda-feira;DIA UTIL
21/11/2017;2017;11;novembro;4;21;terça-feira;DIA UTIL
22/11/2017;2017;11;novembro;4;22;quarta-feira;DIA UTIL
23/11/2017;2017;11;novembro;4;23;quinta-feira;DIA UTIL
24/11/2017;2017;11;novembro;4;24;sexta-feira;DIA UTIL
25/11/2017;2017;11;novembro;4;25;sábado;FINAL DE SEMANA
26/11/2017;2017;11;novembro;4;26;domingo;FINAL DE SEMANA
27/11/2017;2017;11;novembro;4;27;segunda-feira;DIA UTIL
28/11/2017;2017;11;novembro;4;28;terça-feira;DIA UTIL
29/11/2017;2017;11;novembro;4;29;quarta-feira;DIA UTIL
30/11/2017;2017;11;novembro;4;30;quinta-feira;DIA UTIL
01/12/2017;2017;12;dezembro;4;1;sexta-feira;DIA UTIL
02/12/2017;2017;12;dezembro;4;2;sábado;FINAL DE SEMANA
03/12/2017;2017;12;dezembro;4;3;domingo;FINAL DE SEMANA
04/12/2017;2017;12;dezembro;4;4;segunda-feira;DIA UTIL
05/12/2017;2017;12;dezembro;4;5;terça-feira;DIA UTIL
06/12/2017;2017;12;dezembro;4;6;quarta-feira;DIA UTIL
07/12/2017;2017;12;dezembro;4;7;quinta-feira;DIA UTIL
08/12/2017;2017;12;dezembro;4;8;sexta-feira;DIA UTIL
09/12/2017;2017;12;dezembro;4;9;sábado;FINAL DE SEMANA
10/12/2017;2017;12;dezembro;4;10;domingo;FINAL DE SEMANA
11/12/2017;2017;12;dezembro;4;11;segunda-feira;DIA UTIL
12/12/2017;2017;12;dezembro;4;12;terça-feira;DIA UTIL
13/12/2017;2017;12;dezembro;4;13;quarta-feira;DIA UTIL
14/12/2017;2017;12;dezembro;4;14;quinta-feira;DIA UTIL
15/12/2017;2017;12;dezembro;4;15;sexta-feira;DIA UTIL
16/12/2017;2017;12;dezembro;4;16;sábado;FINAL DE SEMANA
17/12/2017;2017;12;dezembro;4;17;domingo;FINAL DE SEMANA
18/12/2017;2017;12;dezembro;4;18;segunda-feira;DIA UTIL
19/12/2017;2017;12;dezembro;4;19;terça-feira;DIA UTIL
20/12/2017;2017;12;dezembro;4;20;quarta-feira;DIA UTIL
21/12/2017;2017;12;dezembro;4;21;quinta-feira;DIA UTIL
22/12/2017;2017;12;dezembro;4;22;sexta-feira;DIA UTIL
23/12/2017;2017;12;dezembro;4;23;sábado;FINAL DE SEMANA
24/12/2017;2017;12;dezembro;4;24;domingo;FINAL DE SEMANA
25/12/2017;2017;12;dezembro;4;25;segunda-feira;FERIADO
26/12/2017;2017;12;dezembro;4;26;terça-feira;DIA UTIL
27/12/2017;2017;12;dezembro;4;27;quarta-feira;DIA UTIL
28/12/2017;2017;12;dezembro;4;28;quinta-feira;DIA UTIL
29/12/2017;2017;12;dezembro;4;29;sexta-feira;DIA UTIL
30/12/2017;2017;12;dezembro;4;30;sábado;FINAL DE SEMANA
31/12/2017;2017;12;dezembro;4;31;domingo;FINAL DE SEMANA
01/01/2018;2018;1;janeiro;1;1;segunda-feira;FERIADO
02/01/2018;2018;1;janeiro;1;2;terça-feira;DIA UTIL
03/01/2018;2018;1;janeiro;1;3;quarta-feira;DIA UTIL
04/01/2018;2018;1;janeiro;1;4;quinta-feira;DIA UTIL
05/01/2018;2018;1;janeiro;1;5;sexta-feira;DIA UTIL
06/01/2018;2018;1;janeiro;1;6;sábado;FINAL DE SEMANA
07/01/2018;2018;1;janeiro;1;7;domingo;FINAL DE SEMANA
08/01/2018;2018;1;janeiro;1;8;segunda-feira;DIA UTIL
09/01/2018;2018;1;janeiro;1;9;terça-feira;DIA UTIL
10/01/2018;2018;1;janeiro;1;10;quarta-feira;DIA UTIL
11/01/2018;2018;1;janeiro;1;11;quinta-feira;DIA UTIL
12/01/2018;2018;1;janeiro;1;12;sexta-feira;DIA UTIL
13/01/2018;2018;1;janeiro;1;13;sábado;FINAL DE SEMANA
14/01/2018;2018;1;janeiro;1;14;domingo;FINAL DE SEMANA
15/01/2018;2018;1;janeiro;1;15;segunda-feira;DIA UTIL
16/01/2018;2018;1;janeiro;1;16;terça-feira;DIA UTIL
17/01/2018;2018;1;janeiro;1;17;quarta-feira;DIA UTIL
18/01/2018;2018;1;janeiro;1;18;quinta-feira;DIA UTIL
19/01/2018;2018;1;janeiro;1;19;sexta-feira;DIA UTIL
20/01/2018;2018;1;janeiro;1;20;sábado;FINAL DE SEMANA
21/01/2018;2018;1;janeiro;1;21;domingo;FINAL DE SEMANA
